GEO_ID,NAME,DP03_0052E,DP03_0052M,DP03_0052PE,DP03_0053E,DP03_0053M,DP03_0053PE,DP03_0054E,DP03_0054M,DP03_0054PE,DP03_0055E,DP03_0055M,DP03_0055PE,DP03_0056E,DP03_0056M,DP03_0056PE,DP03_0057E,DP03_0057M,DP03_0057PE,DP03_0058E,DP03_0058M,DP03_0058PE,DP03_0059E,DP03_0059M,DP03_0059PE,DP03_0060E,DP03_0060M,DP03_0060PE,DP03_0061E,DP03_0061M,DP03_0061PE,DP03_0062E,DP03_0062M,DP03_0062PE,DP03_0088E,DP03_0088M,DP03_0088PE
0500000US21111,"Jefferson County, Kentucky",20234,2612,6.4,13048,2000,4.1,29295,3302,9.3,30652,2950,9.7,41965,3297,13.3,60427,3661,19.1,41219,3217,13.0,43080,3144,13.6,18235,1668,5.8,18019,1660,5.7,59049,2142,(X),33952,932,(X)
0500000US21117,"Kenton County, Kentucky",3006,820,4.6,2734,842,4.2,4718,1235,7.2,4780,965,7.3,9176,1575,14.0,10525,1382,16.1,8498,1554,13.0,13072,1869,20.0,5189,1173,7.9,3664,986,5.6,68849,5525,(X),35901,2194,(X)
0500000US21145,"McCracken County, Kentucky",1921,749,6.8,1806,717,6.4,3755,911,13.2,4192,1190,14.8,3677,992,13.0,5373,1199,18.9,2540,789,9.0,3378,914,11.9,738,331,2.6,983,550,3.5,45084,5521,(X),29391,3727,(X)
0500000US21151,"Madison County, Kentucky",2984,914,8.7,1954,754,5.7,4734,1037,13.8,3681,997,10.7,4074,1189,11.9,5922,1144,17.3,4141,887,12.1,3947,781,11.5,1625,615,4.7,1208,482,3.5,49421,2914,(X),26837,2882,(X)
0500000US21185,"Oldham County, Kentucky",542,346,2.6,81,87,0.4,1500,510,7.2,507,335,2.4,1750,532,8.4,3242,734,15.6,2865,777,13.8,4413,771,21.3,2463,705,11.9,3398,699,16.4,97968,9014,(X),43043,3622,(X)
0500000US21227,"Warren County, Kentucky",3262,1278,6.5,2406,948,4.8,4653,1288,9.2,5649,1452,11.2,7454,1681,14.8,10406,1688,20.6,6203,1245,12.3,6627,1232,13.1,1830,608,3.6,1999,722,4.0,52645,3318,(X),28928,2603,(X)
0500000US22005,"Ascension Parish, Louisiana",1691,1015,3.8,1381,898,3.1,2652,1030,6.0,3343,1276,7.6,4243,1356,9.6,5825,1575,13.2,6494,1680,14.7,8757,1543,19.8,5604,1760,12.7,4277,1768,9.7,85425,8633,(X),38352,4603,(X)
0500000US22015,"Bossier Parish, Louisiana",3019,1128,6.1,3107,1263,6.2,6354,1924,12.8,4944,1519,9.9,7468,1573,15.0,8140,1833,16.4,6628,1608,13.3,5713,1289,11.5,2119,884,4.3,2243,872,4.5,49962,5029,(X),27559,2276,(X)
0500000US22017,"Caddo Parish, Louisiana",12394,2316,13.4,6422,1306,6.9,12080,1884,13.0,8522,1940,9.2,10226,1859,11.0,14184,2000,15.3,9371,2038,10.1,10953,1766,11.8,4104,1498,4.4,4333,1181,4.7,45537,4614,(X),28040,2317,(X)
0500000US22019,"Calcasieu Parish, Louisiana",7978,1797,10.3,3516,948,4.6,9364,1641,12.1,7898,1862,10.2,8742,1847,11.3,11825,2117,15.3,8524,1758,11.0,10927,2118,14.1,4444,1248,5.8,4014,1126,5.2,51246,4232,(X),29789,2400,(X)
0500000US22033,"East Baton Rouge Parish, Louisiana",14030,2381,8.7,9044,1652,5.6,15707,2561,9.7,15494,2629,9.6,18341,2386,11.4,27143,3469,16.8,19366,2746,12.0,20587,2367,12.7,10337,2075,6.4,11487,1827,7.1,56451,3017,(X),32363,1384,(X)
0500000US22045,"Iberia Parish, Louisiana",3161,1055,12.1,653,391,2.5,3967,1085,15.1,2025,811,7.7,3011,918,11.5,4966,1426,19.0,3124,1163,11.9,3981,1091,15.2,765,491,2.9,532,361,2.0,50991,6945,(X),24194,2458,(X)
0500000US22051,"Jefferson Parish, Louisiana",10739,1607,6.2,8186,1552,4.8,16953,2413,9.9,19219,2399,11.2,21845,2725,12.7,32197,2950,18.7,20563,2576,12.0,25278,2375,14.7,8751,1562,5.1,8260,1268,4.8,56069,2127,(X),30358,1189,(X)
0500000US22055,"Lafayette Parish, Louisiana",8120,1750,8.6,4105,1145,4.3,10034,1934,10.6,8162,1791,8.6,10565,1916,11.2,14286,2055,15.1,12186,2566,12.9,14084,2329,14.9,6033,1628,6.4,6915,1527,7.3,60567,4217,(X),33399,2316,(X)
0500000US22057,"Lafourche Parish, Louisiana",2976,1048,8.1,1381,613,3.8,5132,1407,14.0,3073,821,8.4,5344,1175,14.5,5615,1319,15.3,5764,1403,15.7,4636,917,12.6,1654,596,4.5,1184,492,3.2,51339,5806,(X),26311,2135,(X)
